"No.","Time","Source","Destination","Protocol","Length","Info"
"66068","384.094753","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","20","Rcvd Unit Info: Status"
"66069","384.094936","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","20","Sent Unit Info: Stable"
"66074","384.112109","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","20","Rcvd Subunit Info: Status"
"66075","384.113329","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","20","Sent Subunit Info: Stable"
"66076","384.114700","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","23","Rcvd Vendor dependent: Status - GetCapabilities(Events Supported)"
"66077","384.114856","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","32","Sent Vendor dependent: Stable - GetCapabilities(Events Supported) - Count: 8"
"66084","384.200781","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","27","Rcvd Vendor dependent: Notify - RegisterNotification - PlaybackStatusChanged"
"66085","384.200890","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","24","Sent Vendor dependent: Interim - RegisterNotification - PlaybackStatusChanged - PlayStatus: Stopped"
"66106","387.894879","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"66107","387.895199","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"66108","387.916148","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"66109","387.916500","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"66249","389.457469","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"66254","389.482509","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"66262","389.503017","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"66271","389.551996","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"66953","393.823830","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"66958","393.845049","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"66966","393.870154","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"66976","393.938115","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"67787","398.500245","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"67788","398.500555","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"67792","398.515057","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"67793","398.515344","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"68130","400.076559","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"68131","400.076678","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"68133","400.079015","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"68134","400.079120","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"71387","417.703359","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"71388","417.703679","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"71392","417.715644","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"71393","417.715916","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"71637","418.930963","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"71642","418.950850","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"71650","418.999065","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"71652","419.021081","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"158740","866.973356","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","23","Rcvd Vendor dependent: Status - GetCapabilities(Events Supported)"
"158741","866.973602","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","32","Sent Vendor dependent: Stable - GetCapabilities(Events Supported) - Count: 8"
"158745","867.026940","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","27","Rcvd Vendor dependent: Notify - RegisterNotification - PlaybackStatusChanged"
"158746","867.027056","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","24","Sent Vendor dependent: Interim - RegisterNotification - PlaybackStatusChanged - PlayStatus: Stopped"
"160237","879.328666","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"160244","879.351203","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"160252","879.376980","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"160258","879.417971","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"161017","883.063726","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"161018","883.063896","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"161022","883.081032","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"161023","883.081221","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"161484","885.180081","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"161485","885.180450","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"161492","885.206306","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"161493","885.206639","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"162349","890.886383","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"162354","890.907609","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"162362","890.933225","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"162368","891.000291","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"267976","1466.550890","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"267985","1466.620894","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"267989","1466.621416","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"268002","1466.713406","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"268334","1468.733454","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"268339","1468.758567","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"268347","1468.780445","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"268353","1468.826437","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"889979","4717.288628","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"889984","4717.312335","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"889993","4717.337508","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"890000","4717.380516","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"890303","4719.004918","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"890308","4719.023606","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"890316","4719.046570","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"890322","4719.091622","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"902293","4783.207732","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"902298","4783.253985","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"902306","4783.277133","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"902314","4783.322138","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"904299","4793.919051","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"904305","4793.941567","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"904313","4794.009305","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"904320","4794.078344","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"905148","4799.274078","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"905154","4799.319072","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"905162","4799.342390","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"905169","4799.387399","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"906559","4805.957848","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"906560","4805.958193","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"906565","4806.001697","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"906571","4806.025435","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"907361","4810.747944","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"907366","4810.772947","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"907375","4810.793533","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"907381","4810.840499","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"908213","4816.241670","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"908214","4816.241994","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"908215","4816.244159","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"908217","4816.244516","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
"926328","4919.260525","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"926329","4919.260873","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"926330","4919.264777","ActionsS_fd:7c:2c (Mifa_A1)","localhost ()","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"926331","4919.265094","localhost ()","ActionsS_fd:7c:2c (Mifa_A1)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
